aircraft_id,registration,model,manufacturer,variant,capacity_economy,capacity_business,year_manufactured,engine_type,engines_count,range_km,status,base_airport_id,msn
AC001,VT-INA,A320,Airbus,A320-200,180,0,2012,CFM56-5B4,2,6100,Active,A001,5102
AC002,VT-INB,A320,Airbus,A320-200,180,0,2012,CFM56-5B4,2,6100,Active,A002,5103
AC003,VT-INC,A320neo,Airbus,A320neo,188,0,2016,CFM LEAP-1A26,2,6300,Active,A001,7891
AC004,VT-IND,A320neo,Airbus,A320neo,188,0,2017,CFM LEAP-1A26,2,6300,Active,A003,7902
AC005,VT-INE,A321neo,Airbus,A321neo,222,0,2018,CFM LEAP-1A32,2,7400,Active,A002,8231
AC006,VT-INF,A321neo,Airbus,A321neo,222,0,2019,CFM LEAP-1A32,2,7400,Active,A001,8510
AC007,VT-ING,A320,Airbus,A320-200,180,0,2013,CFM56-5B4,2,6100,Active,A005,5200
AC008,VT-INH,A320neo,Airbus,A320neo,188,0,2018,CFM LEAP-1A26,2,6300,Active,A004,8001
AC009,VT-INI,A320neo,Airbus,A320neo,188,0,2018,CFM LEAP-1A26,2,6300,Active,A006,8010
AC010,VT-INJ,A321neo,Airbus,A321neo,222,0,2020,CFM LEAP-1A32,2,7400,Active,A002,8920
AC011,VT-INK,A320,Airbus,A320-200,180,0,2014,CFM56-5B4,2,6100,Maintenance,A001,5410
AC012,VT-INL,A320neo,Airbus,A320neo,188,0,2019,CFM LEAP-1A26,2,6300,Active,A007,8210
AC013,VT-INM,A321neo,Airbus,A321neo,222,0,2021,CFM LEAP-1A32,2,7400,Active,A001,9100
AC014,VT-INN,A320neo,Airbus,A320neo,188,0,2020,CFM LEAP-1A26,2,6300,Active,A003,8500
AC015,VT-INO,A320,Airbus,A320-200,180,0,2015,CFM56-5B4,2,6100,Active,A005,5601
AC016,VT-INP,A321neo,Airbus,A321neo,222,0,2022,CFM LEAP-1A32,2,7400,Active,A002,9350
AC017,VT-INQ,A320neo,Airbus,A320neo,188,0,2021,CFM LEAP-1A26,2,6300,Active,A004,8700
AC018,VT-INR,A320neo,Airbus,A320neo,188,0,2022,CFM LEAP-1A26,2,6300,Active,A001,9001
AC019,VT-INS,A321XLR,Airbus,A321XLR,220,0,2024,CFM LEAP-1A32,2,8700,Active,A001,9800
AC020,VT-INT,A320neo,Airbus,A320neo,188,0,2023,CFM LEAP-1A26,2,6300,Active,A006,9420
